team,year,name,country,state,district,rookie_year,district_points,district_rank,epa.total_points.mean,epa.total_points.sd,epa.unitless,epa.norm,epa.conf,epa.breakdown.total_points,epa.breakdown.auto_points,epa.breakdown.teleop_points,epa.breakdown.endgame_points,epa.breakdown.energized_rp,epa.breakdown.supercharged_rp,epa.breakdown.traversal_rp,epa.breakdown.tiebreaker_points,epa.breakdown.auto_fuel,epa.breakdown.auto_tower,epa.breakdown.transition_fuel,epa.breakdown.first_shift_fuel,epa.breakdown.second_shift_fuel,epa.breakdown.teleop_fuel,epa.breakdown.endgame_fuel,epa.breakdown.endgame_tower,epa.breakdown.total_fuel,epa.breakdown.total_tower,epa.breakdown.rp_1,epa.breakdown.rp_2,epa.breakdown.rp_3,epa.stats.start,epa.stats.pre_champs,epa.stats.max,epa.ranks.total.rank,epa.ranks.total.percentile,epa.ranks.total.team_count,epa.ranks.country.rank,epa.ranks.country.percentile,epa.ranks.country.team_count,epa.ranks.state.rank,epa.ranks.state.percentile,epa.ranks.state.team_count,epa.ranks.district.rank,epa.ranks.district.percentile,epa.ranks.district.team_count,record.wins,record.losses,record.ties,record.count,record.winrate,competing.this_week,competing.next_event_key,competing.next_event_name,competing.next_event_week
1986,2026,Team Titanium,USA,MO,,2007,,,156.46,13.85,1800.0,1685.0,"[-0.83, 0.95]",156.46,31.71,95.34,29.41,0.6676,-0.0893,-0.33757,156.46,31.78,-0.07,8.9,49.15,37.28,95.34,29.55,-0.14,156.66,-0.21,0.6676,-0.0893,-0.33757,65.34,156.46,158.11,177,0.9525,3724,145,0.9507,2944,4,0.9385,65,46,0.9714,1611,27,3,0,30,0.9,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
2056,2026,OP Robotics,Canada,ON,ont,2007,396.0,1.0,316.49,35.43,2226.0,1967.0,"[-0.83, 0.93]",316.49,79.25,183.44,53.8,0.791,0.9147,-0.34002,316.49,78.54,0.72,29.78,87.03,66.62,183.44,54.44,-0.65,316.42,0.07,0.791,0.9147,-0.34002,142.29,316.49,331.13,6,0.9984,3724,2,0.9892,185,2,0.9832,119,2,0.9832,119,48,5,0,53,0.9057,True,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
2102,2026,Team Paradox,USA,CA,ca,2007,212.0,21.0,166.52,15.63,1827.0,1703.0,"[-0.89, 0.86]",166.52,25.96,89.94,50.62,0.5943,0.1654,-0.34004,166.52,26.14,-0.19,5.94,46.28,37.72,89.94,50.49,0.13,166.57,-0.06,0.5943,0.1654,-0.34004,55.91,166.52,172.72,150,0.9597,3724,119,0.9596,2944,23,0.921,291,23,0.921,291,33,15,0,48,0.6875,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
2199,2026,Robo-Lions,USA,MD,fch,2007,210.0,13.0,123.31,22.36,1711.0,1645.0,"[-0.83, 0.92]",123.31,23.62,62.81,36.89,0.5012,0.0637,-0.34004,123.31,23.03,0.59,4.03,28.01,30.76,62.81,36.97,-0.08,122.8,0.51,0.5012,0.0637,-0.34004,57.89,123.31,135.57,363,0.9025,3724,304,0.8967,2944,8,0.7778,36,18,0.8462,117,35,12,0,47,0.7447,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
2220,2026,Blue Twilight,USA,MN,,2007,,,81.23,14.56,1599.0,1569.0,"[-0.75, 1.01]",81.23,8.01,49.09,24.13,0.4678,-0.1699,-0.33789,81.23,8.37,-0.36,3.47,18.31,27.3,49.09,24.33,-0.2,81.79,-0.56,0.4678,-0.1699,-0.33789,57.84,81.23,81.43,750,0.7986,3724,628,0.7867,2944,28,0.8503,187,248,0.8461,1611,17,13,0,30,0.5667,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
2383,2026,Ninjineers,USA,FL,,2008,,,143.35,26.51,1765.0,1668.0,"[-0.76, 1.01]",143.35,26.54,82.44,34.37,0.5665,-0.1007,-0.33774,143.35,26.29,0.25,9.78,37.26,35.4,82.44,32.82,1.55,141.55,1.8,0.5665,-0.1007,-0.33774,63.18,143.35,143.35,242,0.935,3724,206,0.93,2944,5,0.9432,88,63,0.9609,1611,19,9,0,28,0.6786,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
2486,2026,CocoNuts,USA,AZ,,2008,,,94.08,25.98,1633.0,1593.0,"[-0.83, 0.93]",94.08,23.02,51.04,20.02,0.5465,-0.1788,-0.33996,94.08,23.05,-0.03,3.65,25.92,21.47,51.04,20.51,-0.49,94.6,-0.52,0.5465,-0.1788,-0.33996,64.48,94.08,104.89,608,0.8367,3724,510,0.8268,2944,3,0.9231,39,192,0.8808,1611,24,16,0,40,0.6,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
2607,2026,The Fighting RoboVikings,USA,PA,fma,2008,273.0,6.0,100.6,37.86,1651.0,1605.0,"[-1.0, 0.74]",100.6,24.56,48.4,27.64,0.4664,-0.0638,-0.34006,100.6,23.69,0.86,5.36,21.48,21.56,48.4,28.29,-0.65,100.38,0.21,0.4664,-0.0638,-0.34006,83.28,100.6,124.97,553,0.8515,3724,461,0.8434,2944,16,0.7922,77,23,0.8369,141,43,8,0,51,0.8431,True,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
2659,2026,RoboWarriors,USA,CA,ca,2008,190.0,30.0,160.67,23.25,1811.0,1693.0,"[-0.8, 0.96]",160.67,26.87,89.38,44.42,0.4788,0.4154,-0.34,160.67,26.99,-0.12,10.82,42.35,36.22,89.38,45.03,-0.62,161.4,-0.73,0.4788,0.4154,-0.34,55.07,160.67,163.42,165,0.9557,3724,134,0.9545,2944,29,0.9003,291,29,0.9003,291,31,19,0,50,0.62,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
2834,2026,Bionic Black Hawks,USA,MI,fim,2009,59.0,194.0,51.52,13.07,1520.0,1513.0,"[-0.94, 0.82]",51.52,10.69,25.68,15.14,0.3,-0.2331,-0.33819,51.52,10.7,-0.01,1.19,12.03,12.46,25.68,13.92,1.22,50.31,1.21,0.3,-0.2331,-0.33819,68.74,51.52,56.71,1292,0.6531,3724,1064,0.6386,2944,196,0.6302,530,196,0.6302,530,13,16,0,29,0.4483,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
3015,2026,Ranger Robotics,USA,NY,,2009,,,203.0,29.01,1924.0,1767.0,"[-0.83, 0.94]",203.0,51.99,111.82,39.2,0.7468,0.1376,-0.33839,203.0,52.28,-0.29,18.05,50.78,43.0,111.82,39.29,-0.09,203.39,-0.38,0.7468,0.1376,-0.33839,71.46,203.0,207.87,61,0.9836,3724,50,0.983,2944,4,0.9737,152,19,0.9882,1611,37,4,0,41,0.9024,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
3035,2026,Droid Rage,USA,TX,fit,2009,208.0,22.0,124.19,21.72,1714.0,1646.0,"[-0.74, 1.0]",124.19,19.12,71.03,34.04,0.5814,0.0707,-0.34037,124.19,18.56,0.56,4.12,34.53,32.38,71.03,34.54,-0.5,124.13,0.06,0.5814,0.0707,-0.34037,56.92,124.19,124.19,358,0.9039,3724,299,0.8984,2944,21,0.8743,167,21,0.8827,179,37,12,0,49,0.7551,True,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
3175,2026,Knight Vision,USA,MI,fim,2010,159.0,77.0,106.85,18.43,1668.0,1616.0,"[-0.77, 0.98]",106.85,20.52,57.97,28.36,0.7223,-0.0316,-0.34032,106.85,20.41,0.11,1.63,34.04,22.3,57.97,28.28,0.08,106.66,0.19,0.7223,-0.0316,-0.34032,80.03,106.85,109.14,495,0.8671,3724,414,0.8594,2944,70,0.8679,530,70,0.8679,530,31,16,0,47,0.6596,True,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
3297,2026,Full Metal Jackets,USA,MN,,2010,,,94.75,18.71,1635.0,1594.0,"[-0.8, 0.97]",94.75,18.48,57.88,18.39,0.4756,-0.2311,-0.33757,94.75,19.39,-0.91,5.89,28.77,23.22,57.88,16.68,1.71,93.95,0.8,0.4756,-0.2311,-0.33757,59.64,94.75,98.05,601,0.8386,3724,503,0.8291,2944,19,0.8984,187,190,0.8821,1611,26,8,0,34,0.7647,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
3467,2026,Windham Windup,USA,NH,ne,2011,362.0,3.0,270.2,37.9,2103.0,1886.0,"[-1.02, 0.71]",270.2,58.49,156.51,55.2,0.6787,0.9415,-0.34194,270.2,58.31,0.18,27.4,74.69,54.42,156.51,55.68,-0.48,270.5,-0.3,0.6787,0.9415,-0.34194,95.34,270.2,313.49,15,0.996,3724,12,0.9959,2944,1,0.98,50,3,0.985,200,67,4,0,71,0.9437,True,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
3506,2026,YETI Robotics,USA,NC,fnc,2011,243.0,6.0,112.97,9.44,1684.0,1627.0,"[-0.86, 0.9]",112.97,22.37,63.35,27.26,0.4523,-0.2417,-0.34005,112.97,22.5,-0.13,5.01,32.88,25.45,63.35,27.35,-0.09,113.19,-0.22,0.4523,-0.2417,-0.34005,52.15,112.97,114.96,441,0.8816,3724,370,0.8743,2944,7,0.9213,89,7,0.9213,89,40,9,0,49,0.8163,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
3512,2026,Spartatroniks,USA,CA,ca,2011,166.0,38.0,141.53,25.11,1760.0,1666.0,"[-0.91, 0.85]",141.53,19.87,80.69,40.96,0.4284,0.2219,-0.34005,141.53,19.42,0.45,10.21,42.71,27.77,80.69,40.07,0.89,140.19,1.34,0.4284,0.2219,-0.34005,53.95,141.53,158.21,252,0.9323,3724,214,0.9273,2944,37,0.8729,291,37,0.8729,291,31,15,0,46,0.6739,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
3539,2026,Byting Bulldogs,USA,MI,fim,2011,234.0,29.0,179.45,37.14,1861.0,1726.0,"[-0.91, 0.84]",179.45,37.11,99.61,42.73,0.5926,0.0759,-0.34018,179.45,28.43,8.68,9.37,50.4,39.84,99.61,36.3,6.43,164.34,15.11,0.5926,0.0759,-0.34018,76.57,179.45,200.04,103,0.9723,3724,81,0.9725,2944,12,0.9774,530,12,0.9774,530,38,10,0,48,0.7917,True,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
3641,2026,The Flying Toasters,USA,MI,fim,2011,253.0,23.0,141.32,28.43,1759.0,1665.0,"[-0.89, 0.86]",141.32,37.27,75.87,28.18,0.5982,-0.026,-0.27406,141.32,36.96,0.31,9.52,33.73,32.62,75.87,27.67,0.51,140.5,0.82,0.5982,-0.026,-0.27406,46.77,141.32,157.82,254,0.9318,3724,216,0.9266,2944,40,0.9245,530,40,0.9245,530,35,17,0,52,0.6731,True,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
4143,2026,MARS/WARS,USA,IL,,2012,,,148.52,23.11,1779.0,1674.0,"[-0.74, 1.01]",148.52,28.45,84.1,35.97,0.6467,-0.1685,-0.33807,148.52,28.04,0.41,13.35,32.52,38.24,84.1,36.04,-0.07,148.18,0.34,0.6467,-0.1685,-0.33807,72.65,148.52,148.52,210,0.9436,3724,174,0.9409,2944,5,0.9091,55,56,0.9652,1611,31,3,0,34,0.9118,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
4174,2026,Mustang Robotics,USA,MN,,2012,,,141.5,22.85,1760.0,1666.0,"[-0.86, 0.91]",141.5,22.72,79.68,39.11,0.6001,-0.2319,-0.33782,141.5,22.56,0.16,12.05,37.47,30.16,79.68,39.87,-0.76,142.1,-0.6,0.6001,-0.2319,-0.33782,57.08,141.5,147.39,253,0.9321,3724,215,0.927,2944,4,0.9786,187,68,0.9578,1611,25,5,0,30,0.8333,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
4191,2026,IMC,Türkiye,,,2012,,,6.64,15.29,1400.0,1369.0,"[-1.0, 0.76]",6.64,2.17,3.22,1.25,-0.019,-0.2515,-0.33806,6.64,2.24,-0.07,0.8,-1.0,3.42,3.22,1.72,-0.47,7.17,-0.54,-0.019,-0.2515,-0.33806,7.92,6.64,12.65,3611,0.0303,3724,191,0.0498,201,566,0.0487,595,1543,0.0422,1611,10,21,0,31,0.3226,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
4201,2026,The Vitruvian Bots,USA,CA,ca,2012,218.0,19.0,149.24,24.76,1781.0,1675.0,"[-0.84, 0.92]",149.24,27.36,78.65,43.23,0.5691,0.2184,-0.33988,149.24,27.39,-0.03,10.22,34.55,33.89,78.65,43.44,-0.21,149.48,-0.24,0.5691,0.2184,-0.33988,48.97,149.24,151.06,204,0.9452,3724,170,0.9423,2944,32,0.89,291,32,0.89,291,35,15,0,50,0.7,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
4613,2026,Barker Redbacks,Australia,,,2013,,,40.32,14.29,1490.0,1489.0,"[-1.13, 0.96]",40.32,7.88,21.33,11.11,0.2092,-0.223,-0.33593,40.32,6.76,1.11,2.23,10.75,8.34,21.33,11.27,-0.16,39.37,0.95,0.2092,-0.223,-0.33593,86.45,40.32,42.82,1683,0.5481,3724,9,0.7692,39,197,0.6689,595,611,0.6207,1611,8,6,0,14,0.5714,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
4698,2026,Raider Robotics,USA,CA,ca,2013,202.0,28.0,190.0,28.55,1889.0,1744.0,"[-0.86, 0.9]",190.0,44.99,89.92,55.1,0.6656,0.2522,-0.34003,190.0,45.19,-0.21,6.49,48.96,34.46,89.92,54.85,0.24,189.97,0.04,0.6656,0.2522,-0.34003,54.38,190.0,195.46,86,0.9769,3724,68,0.9769,2944,13,0.9553,291,13,0.9553,291,32,18,0,50,0.64,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
5000,2026,HAMMERHEADS,USA,MA,ne,2014,257.0,8.0,204.44,26.33,1928.0,1770.0,"[-0.75, 1.0]",204.44,40.18,112.36,51.89,0.6516,0.425,-0.3401,204.44,39.35,0.83,10.57,45.37,56.43,112.36,52.36,-0.47,204.07,0.37,0.6516,0.425,-0.3401,56.24,204.44,204.44,59,0.9842,3724,48,0.9837,2944,4,0.9437,71,8,0.96,200,33,19,0,52,0.6346,True,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
